id_i,id_j,row
0,5,0
0,56,1
0,373,2
0,376,3
0,671,4
0,730,5
0,958,6
0,959,7
0,994,8
0,1099,9
0,1136,10
0,1244,11
0,1334,12
0,1366,13
0,1367,14
0,1375,15
0,1397,16
0,1412,17
0,1433,18
0,1443,19
0,1444,20
0,1467,21
0,1468,22
0,1473,23
0,1482,24
0,1526,25
0,1527,26
0,1528,27
0,1529,28
0,1530,29
0,1531,30
0,1532,31
0,1533,32
0,1534,33
0,1535,34
0,1536,35
0,1557,36
0,1561,37
0,1571,38
0,1609,39
0,1613,40
0,1615,41
0,1649,42
0,1713,43
0,1714,44
0,1715,45
0,1722,46
1,9,47
1,52,48
1,59,49
1,497,50
1,526,51
1,528,52
1,531,53
1,619,54
1,621,55
1,622,56
1,948,57
1,952,58
1,953,59
1,992,60
1,993,61
1,1215,62
1,1221,63
1,1252,64
1,1253,65
1,1254,66
1,1257,67
1,1258,68
1,1259,69
1,1296,70
1,1728,71
1,1730,72
2,122,73
2,321,74
2,381,75
2,459,76
2,460,77
2,461,78
2,595,79
2,786,80
2,920,81
2,921,82
2,922,83
2,1044,84
2,1046,85
2,1053,86
2,1114,87
2,1161,88
2,1162,89
2,1167,90
2,1168,91
2,1169,92
3,219,93
3,220,94
3,222,95
3,223,96
3,224,97
3,227,98
3,229,99
3,709,100
3,711,101
3,714,102
3,715,103
3,716,104
3,717,105
3,837,106
3,1181,107
4,170,108
4,355,109
4,356,110
4,357,111
4,485,112
4,486,113
4,487,114
4,628,115
4,767,116
4,1236,117
4,1237,118
5,248,119
5,376,120
5,489,121
5,490,122
5,491,123
5,576,124
5,579,125
5,663,126
5,693,127
5,694,128
5,695,129
5,696,130
5,789,131
5,838,132
5,1001,133
5,1069,134
5,1398,135
5,1399,136
5,1433,137
5,1456,138
5,1526,139
5,1527,140
5,1528,141
5,1529,142
5,1530,143
5,1531,144
5,1532,145
5,1533,146
5,1534,147
5,1535,148
5,1536,149
5,1706,150
6,373,151
6,786,152
