user id,product id,score,time,text
a2no1txxs9t0ee,b000g6ryne,4,1335398400,hard
a1irn1m05tpovt,b000g6ryne,5,1334620800,kettle potato chips fully loaded baked potato
a1y3xpzk9zadfw,b000g6ryne,4,1334016000,glad to find them in 1 oz size
a1y3xpzk9zadfw,b000g6ryne,4,1334016000,pretty good could be better
a1irn1m05tpovt,b000g6ryne,5,1331078400,kettle potato chips sweet onion
a2oeurogzdtxuj,b000g6ryne,5,1327881600,delicious
a22pubssnp54l,b000g6ryne,5,1326672000,i love these chips they are thick and crunchy
a15usneajuxosh,b000g6ryne,4,1326067200,quite good
a15usneajuxosh,b000g6ryne,5,1326067200,delicious
a2bljggwn8gtxq,b000g6ryne,5,1325721600,salty and vinegary
a33plz7sd5mcg0,b000g6ryne,4,1315699200,a unique flavor for fans of thai food
a35jpd8q492fjc,b000g6ryne,5,1304640000,yowzah
ayb4elcs5am8p,b000g6ryne,5,1300579200,excellent
a2goe7itdgyve,b000g6ryne,5,1297900800,tangy goodness
a3pz4axty9j1dz,b000g6ryne,4,1295913600,a delicious crisp chip with good flavor
a2mugfv2tdq47k,b000g6ryne,3,1288915200,an acquired taste
a2zefdvx4x5tpx,b000g6ryne,4,1249430400,not quite the best
a3rmgikuwgpzok,b000g6ryne,5,1245024000,one of their best flavors
a56jfsluchi4j,b000g6ryne,5,1237334400,highly addicitive chips
a1dw1fk1h3f2tm,b000g6ryne,5,1231977600,these are awesome
a3pjz8tu8fdq1k,b000g6ryne,5,1231718400,one bite and youll become a chippoisseur
a3pjz8tu8fdq1k,b000g6ryne,5,1231718400,crunchy salty sweetfinally a superbowl snack that scooores
a17ur3nrlarxch,b000g6ryne,4,1221091200,good chips more cheese
a31n6kb160o508,b000g6ryne,4,1219795200,pretty good tasting chip
a3mlesxa2vgwjc,b000g6ryne,4,1217376000,best sour cream onion chip ive had
a3uco7b9hp42bg,b000g6ryne,5,1217203200,great chips
a1rrhet1qip1yk,b000g6ryne,5,1215302400,great chip
aohrhpjp38llt,b000g6ryne,2,1214784000,70 of the chips in the bag are over cooked
a31n6kb160o508,b000g6ryne,4,1214006400,not bad but a little hard to get used to
a31n6kb160o508,b000g6ryne,4,1214006400,firm quality chip
a1wq3ugxpt15vi,b000g6ryne,2,1213920000,not very creamy or chivey
a1b05inwidz74o,b000g6ryne,3,1213142400,prefer other flavors
a1b05inwidz74o,b000g6ryne,5,1212451200,these will be habit forming
a2oayim13wixch,b000g6ryne,5,1206662400,the best chips ever
a2oeurogzdtxuj,b000g6ryne,4,1327968000,i like them
a30h2335om7rd6,b000g6ryne,5,1316649600,love kettle chips
a39y59c6ftc0gl,b000g6ryne,2,1247788800,love kettle chips but not this flavor
a2zcd6ko2yy9iz,b000g6ryne,5,1200700800,tasty
a2c18ch1yc6byt,b000g6ryne,4,1314403200,crisp
a2m8jq3ame7878,b000g6ryne,3,1297036800,vinegar not my taste
a3b6toexsqvo24,b000g6ryne,5,1292457600,spicy thai chips
